buyer_id,name,state_license,address,city,state,zip,industry,type,buyer_group,buyer_type,disabled
130734,Canna Provisions Inc - Holyoke,MR281778,380 Dwight Street,Holyoke,39,01040,Recreational,Dispensary,Canna Provisions Inc,Multi,False
130735,Coastal Cultivar,MC282052,23 Patterson Brook Road,Wareham,39,02576,Recreational,Distributor,Coastal Cultivar,Multi,False
130733,Bud Barn - Winchendon,MR281735,682 Spring Street,Winchendon,39,01475,Recreational,Dispensary,Bud Barn,Multi,False
130737,Green Choice Dispensary,MR283234,114 Main St,Blackstone,39,01504,Recreational,Dispensary,Green Choice Dispensary,Multi,False
130736,CatDogg LLC,MR284871,800 Falmouth Rd,Mashpee,39,02649,Recreational,Dispensary,CatDogg LLC,Multi,False
130739,The Spot,,1 Cabot St,Holyoke,39,01040,Recreational,Dispensary,The Spot,Multi,False
130738,"BoomX/Thrive Cultivation & Dispensary, LLC",MR283714,114 Lancaster Road,Shirley,39,01464,Recreational,Dispensary,"BoomX/Thrive Cultivation & Dispensary, LLC",Multi,False
130740,"The Green Lady Dispensary II, Inc.",MR284161,740 Beacon Street,Newton,39,02461,Recreational,Dispensary,"The Green Lady Dispensary II, Inc.",Multi,False
130741,Canna Retreat,MR284710,1240 Park St,Palmer,39,01069,Recreational,Dispensary,Canna Retreat,Multi,False
130744,Sublime Cannabia,MR284871,800 Falmouth Rd,Mashpee,39,02649,Recreational,Dispensary,Sublime Cannabis,Multi,False
130745,The Healing Center,MR283193,346 River St,Fitchburg,39,01420,Recreational,Dispensary,The Healing Center,Multi,False
130742,ZaZa Green Cannabis,MR282714,311 Page Blvd,Springfield,39,01104,Recreational,Dispensary,ZaZa Green Cannabis,Multi,False
130746,Reverie 73,,73 Essex Ave,Gloucester,39,01930,Recreational,Dispensary,Reverie 73,Multi,False
130747,Flower & Soul,,894 Plymouth St,Halifax,39,02338,Recreational,Dispensary,Flower & Soul,Multi,False
130750,East Coast Pharms,,630 Beaulieu St,Holyoke,39,01040,Medical,Dispensary,East Coast Pharms,Multi,False
130751,Boston Garden,,946 Main St,Athol,39,01331,Recreational,Dispensary,Boston Garden,Multi,False
130752,Green RIver,,398 Deerfield St.,Greenfield,39,01301,,Dispensary,Green RIver,Multi,False
130753,Emerald Grove,,3 Main St,Eastham,39,02642,Recreational,Dispensary,Emerald Grove,Multi,False
130754,Pure Oasis(Blue Hill Ave),MR281352,430 Blue Hill Ave,Boston,39,02121,Recreational,Dispensary,Pure Oasis,Multi,False
130755,Calyx Berkshire Dispensary,MR281517,307 Main Street,Great Barrington,39,01230,Recreational,Dispensary,Calyx Berkshire (D2N2 LLC),Multi,False
130756,OMG Cannabis,,223 Lunenburg St,Fitchburg,39,01420,Recreational,Dispensary,OMG Cannabis,Multi,False
130757,Eskar,,400 Commerce Dr,Northbridge,39,01534,Recreational,Dispensary,Eskar,Multi,False
130758,Full Harvest Moonz,,1201 Westford St,Lowell,39,01851,Recreational,Dispensary,Full Harvest Moonz,Multi,False
130760,Boston Bud Factory,,73 Sargeant St,Holyoke,39,01040,Recreational,Dispensary,Boston Bud Factory,Multi,False
130761,Ideal Craft Cannabis,MR281779,199 Main St,Blackstone,39,,Recreational,Dispensary,Ideal Craft Cannabis (Delta 420),Multi,False
130759,New Dia Cannabis Co,MR284222,71 Lansdown St,Boston,39,02215,Recreational,Dispensary,New Dia Cannabis Co,Multi,False
130762,The Heritage Club,,116R Cambridge St,Charlestown,39,02129,Recreational,Dispensary,The Heritage Club,Multi,False
130763,Green Era Cannabis,,143 Water St,Fitchburg,39,01420,Recreational,Dispensary,Green Era Cannabis,Multi,False
130764,Green Soul Organics,MR284855,759 Mass Ave,Cambridge,39,02139,Recreational,Dispensary,Green Soul Organics,Multi,False
131249,Cady Brook Cannabis - Southbridge,MR283652,208 Worcester Street,Southbridge,39,01550,Recreational,Dispensary,Cady Brook Cannabis,Retail,False
132690,Cresco Fall River Cultivation,MP281361,,Fall River,39,02720,Recreational,Processor,Cresco Labs,Retail,False
229057,CANA Craft -  Beachgrass Wareham,MP281797,,Wareham,39,02538,Recreational,Processor,CANA Craft Cannabis Dispensary,Multi,False
133086,TEST BUYER,TEST,123 Main st,TEST,39,TEST,,,TEST BUYER,Retail,False
137533,Mass Yield Cultivation LLC,MC281392,8-12 Commercial Street,Pittsfield,39,01201,,,Mass Yield Cultivation LLC,Retail,False
